,Player,matches,innings,No,Runs,HS,Average,BF,SR,100,50,4,6,season
29,"



Jos Buttler


",10,10,0,272,77,27.20,177,153.67,0,1,27,15,2017
30,"



Kedar Jadhav


",13,13,1,267,69,22.25,186,143.54,0,1,25,10,2017
31,"



Shaun Marsh


",9,8,0,264,84,33.00,194,136.08,0,2,36,5,2017
32,"



Kane Williamson


",7,7,1,256,89,42.66,169,151.47,0,2,20,10,2017
33,"



Yuvraj Singh


",12,11,2,252,70*,28.00,177,142.37,0,2,30,8,2017
34,"



Hardik Pandya


",17,16,9,250,35*,35.71,160,156.25,0,0,11,20,2017
35,"



Krunal Pandya


",13,11,4,243,47,34.71,179,135.75,0,0,24,7,2017
36,"


Dwayne Smith

",12,12,1,239,74,21.72,156,153.20,0,2,32,8,2017
37,"



Wriddhiman Saha


",14,11,1,234,93*,23.40,187,125.13,0,1,20,8,2017
38,"



Manan Vohra


",11,9,0,229,95,25.44,159,144.02,0,1,23,9,2017
39,"



Axar Patel


",14,13,5,227,44,28.37,162,140.12,0,0,11,11,2017
40,"



Sunil Narine


",16,14,1,224,54,17.23,130,172.30,0,1,34,10,2017
41,"



AB de Villiers


",9,9,1,216,89*,27.00,163,132.51,0,1,12,16,2017
42,"



Chris Gayle


",9,9,0,200,77,22.22,163,122.69,0,1,15,14,2017
43,"



Mandeep Singh


",11,10,0,188,52,18.80,177,106.21,0,1,21,4,2017
44,"


Ravindra Jadeja

",12,10,6,158,28,39.50,113,139.82,0,0,13,4,2017
45,"



Chris Morris


",9,9,4,154,52*,30.80,94,163.82,0,1,15,6,2017
46,"



Travis Head


",7,7,2,151,75*,30.20,108,139.81,0,1,9,6,2017
47,"



Pawan Negi


",12,10,2,144,35,18.00,111,129.72,0,0,10,7,2017
48,"



Yusuf Pathan


",15,11,3,143,59,17.87,115,124.34,0,1,9,6,2017
49,"



Corey Anderson


",11,11,4,142,41*,20.28,123,115.44,0,0,8,9,2017
50,"



Sam Billings


",6,6,0,138,55,23.00,104,132.69,0,1,19,1,2017
51,"



Lendl Simmons


",7,7,0,137,66,19.57,112,122.32,0,2,10,8,2017
52,"



Martin Guptill


",7,7,1,132,50*,22.00,88,150.00,0,1,17,5,2017
53,"



Colin de Grandhomme


",12,9,1,126,36,15.75,92,136.95,0,0,10,6,2017
54,"



Suryakumar Yadav


",10,7,1,105,31,17.50,88,119.31,0,0,8,3,2017
55,"



Vijay Shankar


",4,4,2,101,63*,50.50,75,134.66,0,1,12,1,2017
56,"



Ambati Rayudu


",5,5,0,91,63,18.20,78,116.66,0,1,7,3,2017
57,"



David Miller


",5,4,1,83,30*,27.66,80,103.75,0,0,4,4,2017
58,"



Naman Ojha


",14,5,1,79,34,19.75,65,121.53,0,0,2,3,2017
59,"


Dan Christian

",13,9,4,79,17*,15.80,49,161.22,0,0,5,5,2017
60,"



Deepak Hooda


",10,6,3,78,19*,26.00,52,150.00,0,0,5,4,2017
61,"



Stuart Binny


",8,7,2,78,18*,15.60,76,102.63,0,0,6,3,2017
62,"



Pat Cummins


",12,9,4,77,24,15.40,53,145.28,0,0,5,4,2017
63,"



Shane Watson


",8,7,1,71,24,11.83,78,91.02,0,0,6,1,2017
64,"



Eoin Morgan


",4,4,0,65,26,16.25,62,104.83,0,0,6,2,2017
65,"


Jason Roy

",3,3,1,59,31,29.50,40,147.50,0,0,9,1,2017
66,"



Kagiso Rabada


",6,3,0,55,44,18.33,64,85.93,0,0,5,1,2017
67,"


James Faulkner

",8,6,2,54,21,13.50,57,94.73,0,0,4,0,2017
68,"


Andrew Tye

",6,3,1,53,25,26.50,30,176.66,0,0,4,3,2017
69,"



Saurabh Tiwary


",1,1,0,52,52,52.00,43,120.93,0,1,9,0,2017
70,"



Ben Cutting


",4,3,1,51,20,25.50,26,196.15,0,0,5,3,2017
71,"



Mohit Sharma


",14,7,1,51,13,8.50,50,102.00,0,0,3,1,2017
72,"



Amit Mishra


",14,6,5,49,13*,49.00,52,94.23,0,0,2,2,2017
73,"



Karn Sharma


",9,6,0,49,19,8.16,41,119.51,0,0,5,2,2017
74,"



Chris Woakes


",13,7,3,46,18,11.50,47,97.87,0,0,4,1,2017
75,"



Sheldon Jackson


",4,3,1,38,16,19.00,31,122.58,0,0,5,0,2017
76,"



Mohammad Shami


",8,6,2,36,21,9.00,24,150.00,0,0,4,2,2017
77,"



Ishank Jaggi


",2,2,1,33,28,33.00,39,84.61,0,0,3,0,2017
78,"



Sreenath Aravind


",10,8,4,32,9,8.00,40,80.00,0,0,2,0,2017
79,"



Angelo Mathews


",3,2,0,32,31,16.00,27,118.51,0,0,2,1,2017
80,"



Bipul Sharma


",7,3,2,31,21*,31.00,24,129.16,0,0,2,1,2017
81,"



Marlon Samuels


",5,4,0,29,27,7.25,31,93.54,0,0,1,2,2017
82,"


Basil Thampi

",12,5,5,28,13*,0.00,28,100.00,0,0,1,1,2017
83,"


Mayank Agarwal

",3,3,0,26,20,8.66,27,96.29,0,0,3,0,2017
84,"



Aniket Choudhary


",5,3,2,25,15*,25.00,20,125.00,0,0,1,1,2017
85,"


Ankit Sharma

",1,1,0,25,25,25.00,15,166.66,0,0,2,1,2017
86,"



Kuldeep Yadav


",12,2,0,20,16,10.00,22,90.90,0,0,2,0,2017
87,"



Mitchell Johnson


",5,3,3,20,13*,0.00,17,117.64,0,0,1,1,2017
88,"



Vishnu Vinod


",3,3,0,19,9,6.33,26,73.07,0,0,1,1,2017
89,"



Rahul Tewatia


",3,2,1,19,15*,19.00,11,172.72,0,0,4,0,2017
90,"



Aditya Tare


",3,3,0,18,18,6.00,23,78.26,0,0,3,0,2017
91,"



Marcus Stoinis


",5,3,0,17,9,5.66,24,70.83,0,0,1,0,2017
92,"



Mitchell McClenaghan


",14,7,3,16,12,4.00,15,106.66,0,0,0,1,2017
93,"



Harbhajan Singh


",11,7,5,16,7*,8.00,16,100.00,0,0,0,1,2017
94,"



Jasprit Bumrah


",16,2,1,16,16*,16.00,12,133.33,0,0,0,1,2017
95,"


Rajat Bhatia

",3,2,1,16,16,16.00,17,94.11,0,0,0,1,2017
96,"



Sachin Baby


",3,3,0,15,12,5.00,15,100.00,0,0,2,0,2017
97,"



Anureet Singh


",1,1,0,15,15,15.00,12,125.00,0,0,2,0,2017
98,"


Deepak Chahar

",3,1,0,14,14,14.00,6,233.33,0,0,0,2,2017
99,"



Nathan Coulter-Nile


",8,3,0,14,6,4.66,12,116.66,0,0,0,2,2017
100,"



Yuzvendra Chahal


",13,6,3,13,4*,4.33,26,50.00,0,0,0,0,2017
101,"



Samuel Badree


",7,5,0,13,8,2.60,23,56.52,0,0,0,0,2017
102,"



Carlos Brathwaite


",2,2,0,12,11,6.00,15,80.00,0,0,2,0,2017
103,"



Ankit Bawne


",1,1,1,12,12*,0.00,12,100.00,0,0,1,0,2017
104,"



Swapnil Singh


",4,2,0,12,10,6.00,19,63.15,0,0,0,0,2017
105,"



Rashid Khan


",14,3,1,11,6*,5.50,9,122.22,0,0,0,1,2017
106,"



Umesh Yadav


",14,4,4,10,4*,0.00,13,76.92,0,0,0,0,2017
107,"


Washington Sundar

",11,5,4,9,5*,9.00,12,75.00,0,0,0,0,2017
108,"



Tymal Mills


",5,3,0,8,6,2.66,11,72.72,0,0,0,1,2017
109,"


Praveen Kumar

",6,2,1,8,7*,8.00,9,88.88,0,0,0,0,2017
110,"


Faf du Plessis

",2,1,0,8,8,8.00,7,114.28,0,0,1,0,2017
111,"



Ishant Sharma


",6,3,1,8,5*,4.00,12,66.66,0,0,1,0,2017
112,"



Tim Southee


",3,1,0,7,7,7.00,3,233.33,0,0,0,1,2017
113,"



Adam Milne


",4,3,1,7,5,3.50,12,58.33,0,0,0,0,2017
114,"



Lasith Malinga


",12,2,2,7,7*,0.00,3,233.33,0,0,0,1,2017
115,"


Ankit Soni

",7,3,1,7,7*,3.50,9,77.77,0,0,0,1,2017
116,"



Sandeep Sharma


",13,4,4,7,5*,0.00,6,116.66,0,0,0,0,2017
117,"


Ashok Dinda

",3,1,0,7,7,7.00,7,100.00,0,0,1,0,2017
118,"



Darren Bravo


",1,1,1,6,6*,0.00,5,120.00,0,0,1,0,2017
119,"



Iqbal Abdulla


",2,1,1,5,5*,0.00,7,71.42,0,0,0,0,2017
120,"


Adam Zampa

",6,1,0,5,5,5.00,7,71.42,0,0,1,0,2017
121,"



Trent Boult


",6,1,1,5,5*,0.00,8,62.50,0,0,0,0,2017
122,"



Zaheer Khan


",11,3,2,4,2,4.00,13,30.76,0,0,0,0,2017
123,"



Bhuvneshwar Kumar


",14,2,1,4,4*,4.00,4,100.00,0,0,0,0,2017
124,"



Varun Aaron


",6,2,1,4,4,4.00,10,40.00,0,0,0,0,2017
125,"



Ankit Rajpoot


",5,1,0,4,4,4.00,7,57.14,0,0,1,0,2017
126,"


Rahul Chahar

",3,1,1,3,3*,0.00,2,150.00,0,0,0,0,2017
127,"



Shahbaz Nadeem


",7,4,1,2,2,0.66,9,22.22,0,0,0,0,2017
128,"



KC Cariappa


",4,2,0,2,1,1.00,7,28.57,0,0,0,0,2017
0,"



David Warner



",12,12,2,692,100*,69.20,481,143.86,1,8,57,21,2019
1,"



KL Rahul


",14,14,3,593,100*,53.90,438,135.38,1,6,49,25,2019
2,"



Quinton de Kock


",16,16,1,529,81,35.26,398,132.91,0,4,45,25,2019
3,"



Shikhar Dhawan


",16,16,1,521,97*,34.73,384,135.67,0,5,64,11,2019
4,"



Andre Russell


",14,13,4,510,80*,56.66,249,204.81,0,4,31,52,2019
5,"



Chris Gayle


",13,13,1,490,99*,40.83,319,153.60,0,4,45,34,2019
6,"



Rishabh Pant


",16,16,3,488,78*,37.53,300,162.66,0,3,37,27,2019
7,"



Virat Kohli


",14,14,0,464,100,33.14,328,141.46,1,2,46,13,2019
8,"



Shreyas Iyer


",16,16,1,463,67,30.86,386,119.94,0,3,41,14,2019
9,"



Jonny Bairstow


",10,10,2,445,114,55.62,283,157.24,1,2,48,18,2019
10,"



AB de Villiers


",13,13,3,442,82*,44.20,287,154.00,0,5,31,26,2019
11,"



Suryakumar Yadav


",16,15,2,424,71*,32.61,324,130.86,0,2,45,10,2019
12,"



MS Dhoni


",15,12,7,416,84*,83.20,309,134.62,0,3,22,23,2019
13,"



Chris Lynn


",13,13,0,405,82,31.15,290,139.65,0,4,41,22,2019
14,"



Rohit Sharma


",15,15,1,405,67,28.92,315,128.57,0,2,52,10,2019
15,"



Hardik Pandya


",16,15,6,402,91,44.66,210,191.42,0,1,28,29,2019
16,"



Shane Watson


",17,17,0,398,96,23.41,312,127.56,0,3,42,20,2019
17,"



Faf du Plessis


",12,12,1,396,96,36.00,321,123.36,0,3,36,15,2019
18,"



Ajinkya Rahane


",14,13,1,393,105*,32.75,285,137.89,1,1,45,9,2019
19,"



Suresh Raina


",17,17,1,383,59,23.93,314,121.97,0,3,45,9,2019
20,"



Parthiv Patel


",14,14,0,373,67,26.64,268,139.17,0,2,48,10,2019
21,"



Prithvi Shaw


",16,16,0,353,99,22.06,264,133.71,0,2,45,9,2019
22,"



Manish Pandey


",12,11,3,344,83*,43.00,263,130.79,0,3,34,6,2019
23,"



Nitish Rana


",14,11,1,344,85*,34.40,235,146.38,0,3,27,21,2019
24,"



Sanju Samson


",12,12,2,342,102*,34.20,230,148.69,1,0,28,13,2019
25,"



Mayank Agarwal


",13,13,0,332,58,25.53,234,141.88,0,2,26,14,2019
26,"



Steve Smith


",12,10,2,319,73*,39.87,275,116.00,0,3,30,4,2019
27,"



Jos Buttler


",8,8,0,311,89,38.87,205,151.70,0,3,38,14,2019
28,"



Shubman Gill


",14,13,4,296,76,32.88,238,124.36,0,3,21,10,2019
29,"



Ambati Rayudu


",17,17,5,282,57,23.50,303,93.06,0,1,20,7,2019
30,"



Robin Uthappa


",12,11,2,282,67*,31.33,245,115.10,0,1,28,10,2019
31,"



Kieron Pollard


",16,14,6,279,83,34.87,178,156.74,0,1,14,22,2019
32,"



Dinesh Karthik


",14,13,5,253,97*,31.62,173,146.24,0,2,22,14,2019
33,"



Vijay Shankar


",15,14,2,244,40*,20.33,193,126.42,0,0,11,12,2019
34,"



Moeen Ali


",11,10,2,220,66,27.50,133,165.41,0,2,16,17,2019
35,"



David Miller


",10,10,2,213,59*,26.62,164,129.87,0,1,19,7,2019
36,"



Marcus Stoinis


",10,10,6,211,46*,52.75,156,135.25,0,0,14,10,2019
37,"



Colin Ingram


",12,12,2,184,47,18.40,154,119.48,0,0,20,5,2019
38,"



Krunal Pandya


",16,15,4,183,42,16.63,150,122.00,0,0,18,5,2019
39,"



Sarfaraz Khan


",8,5,1,180,67,45.00,143,125.87,0,1,19,4,2019
40,"



Nicholas Pooran


",7,6,0,168,48,28.00,107,157.00,0,0,10,14,2019
41,"



Mandeep Singh


",13,12,8,165,33*,41.25,120,137.50,0,0,10,4,2019
42,"



Kedar Jadhav


",14,12,3,162,58,18.00,169,95.85,0,1,19,3,2019
43,"



Riyan Parag


",7,5,0,160,50,32.00,126,126.98,0,1,17,5,2019
44,"



Kane Williamson


",9,9,2,156,70*,22.28,130,120.00,0,1,12,5,2019
45,"



Sunil Narine


",12,9,1,143,47,17.87,86,166.27,0,0,17,9,2019
46,"



Rahul Tripathi


",8,7,1,141,50,23.50,118,119.49,0,1,13,2,2019
47,"



Ben Stokes


",9,9,3,123,46,20.50,99,124.24,0,0,8,4,2019
48,"



Mohammad Nabi


",8,7,1,115,31,19.16,76,151.31,0,0,8,7,2019
49,"



Axar Patel


",14,12,6,110,26,18.33,88,125.00,0,0,10,3,2019
50,"



Ravindra Jadeja


",16,9,6,106,31*,35.33,88,120.45,0,0,7,4,2019
51,"



Ishan Kishan


",7,6,0,101,28,16.83,100,101.00,0,0,8,4,2019
52,"



Yuvraj Singh


",4,4,0,98,53,24.50,75,130.66,0,1,7,6,2019
53,"



Gurkeerat Mann Singh


",3,3,0,98,65,32.66,70,140.00,0,1,11,2,2019
54,"



Sam Curran


",9,8,4,95,55*,23.75,55,172.72,0,1,13,3,2019
55,"



Shimron Hetmyer


",5,5,0,90,75,18.00,73,123.28,0,1,4,7,2019
56,"



Wriddhiman Saha


",5,5,0,86,28,17.20,53,162.26,0,0,13,1,2019
57,"



Colin Munro


",4,4,0,84,40,21.00,70,120.00,0,0,9,4,2019
58,"



Martin Guptill


",3,3,0,81,36,27.00,53,152.83,0,0,4,7,2019
59,"



Dwayne Bravo


",12,9,4,80,27,16.00,66,121.21,0,0,6,3,2019
60,"



Sherfane Rutherford


",7,7,2,73,28*,14.60,54,135.18,0,0,2,7,2019
61,"



Liam Livingstone


",4,4,1,71,44,23.66,48,147.91,0,0,6,5,2019
62,"



Stuart Binny


",8,5,2,70,33*,23.33,40,175.00,0,0,5,4,2019
63,"



Jofra Archer


",11,5,3,67,27*,33.50,40,167.50,0,0,4,4,2019
64,"



Deepak Hooda


",11,7,1,64,20,10.66,63,101.58,0,0,5,1,2019
65,"



Murali Vijay


",2,2,0,64,38,32.00,61,104.91,0,0,6,1,2019
66,"



Shreyas Gopal


",14,7,3,63,19*,15.75,46,136.95,0,0,8,1,2019
67,"



Akshdeep Nath


",8,5,0,61,24,12.20,57,107.01,0,0,5,2,2019
68,"



Evin Lewis


",3,3,0,48,32,16.00,52,92.30,0,0,4,2,2019
69,"



Colin de Grandhomme


",4,4,1,46,37,15.33,49,93.87,0,0,4,2,2019
70,"



Piyush Chawla


",13,5,2,42,14*,14.00,37,113.51,0,0,4,2,2019
71,"



Ravichandran Ashwin


",14,6,1,42,17*,8.40,28,150.00,0,0,3,3,2019
72,"



Shivam Dube


",4,4,1,40,24,13.33,33,121.21,0,0,1,3,2019
73,"



Yusuf Pathan


",10,8,5,40,16*,13.33,45,88.88,0,0,1,1,2019
74,"



Rinku Singh


",5,3,1,37,30,18.50,34,108.82,0,0,1,2,2019
75,"



Rashid Khan


",15,8,3,34,17*,6.80,23,147.82,0,0,2,2,2019
76,"



Chris Morris


",9,6,0,32,17,5.33,37,86.48,0,0,1,2,2019
77,"



Mitchell Santner


",4,2,1,32,22,32.00,23,139.13,0,0,0,3,2019
78,"



Rahul Tewatia


",5,4,3,26,11*,26.00,22,118.18,0,0,2,1,2019
79,"



Umesh Yadav


",11,7,5,25,14,12.50,25,100.00,0,0,3,1,2019
80,"



Amit Mishra


",11,4,2,21,8,10.50,24,87.50,0,0,2,0,2019
81,"



Harpreet Brar


",2,1,1,20,20*,0.00,12,166.66,0,0,2,1,2019
82,"



Prayas Ray Barman


",1,1,0,19,19,19.00,24,79.16,0,0,2,0,2019
83,"



Keemo Paul


",8,6,1,18,7,3.60,24,75.00,0,0,1,1,2019
84,"



Ben Cutting


",3,3,1,18,13*,9.00,17,105.88,0,0,1,1,2019
85,"



Krishnappa Gowtham


",7,4,1,18,9,6.00,19,94.73,0,0,1,1,2019
86,"



Prabhsimran Singh


",1,1,0,16,16,16.00,17,94.11,0,0,1,1,2019
87,"



Alzarri Joseph


",3,2,2,15,15*,0.00,13,115.38,0,0,2,0,2019
88,"



Siddhesh Lad


",1,1,0,15,15,15.00,13,115.38,0,0,1,1,2019
89,"



Shardul Thakur


",10,3,1,14,12*,7.00,7,200.00,0,0,1,1,2019
90,"



Kagiso Rabada


",12,4,1,14,9,4.66,15,93.33,0,0,0,1,2019
91,"



Bhuvneshwar Kumar


",15,5,2,12,7*,4.00,19,63.15,0,0,1,0,2019
92,"



Kuldeep Yadav


",9,4,2,12,10*,6.00,8,150.00,0,0,1,0,2019
93,"



Rahul Chahar


",13,4,2,12,10,6.00,11,109.09,0,0,2,0,2019
94,"



Mitchell McClenaghan


",5,4,1,11,10,3.66,16,68.75,0,0,2,0,2019
95,"



Carlos Brathwaite


",2,2,0,11,6,5.50,10,110.00,0,0,1,0,2019
96,"



Ishant Sharma


",13,3,3,10,10*,0.00,3,333.33,0,0,1,1,2019
97,"



Shakib Al Hasan


",3,1,0,9,9,9.00,10,90.00,0,0,0,0,2019
98,"



Pawan Negi


",7,4,0,9,5,2.25,12,75.00,0,0,1,0,2019
99,"



Tim Southee


",3,1,1,9,9*,0.00,9,100.00,0,0,0,0,2019
100,"



Abhishek Sharma


",3,3,1,9,5*,4.50,9,100.00,0,0,1,0,2019
101,"



Heinrich Klaasen


",3,2,0,9,6,4.50,10,90.00,0,0,0,0,2019
102,"



KC Cariappa


",1,1,1,9,9*,0.00,3,300.00,0,0,0,1,2019
103,"



Mahipal Lomror


",2,1,0,8,8,8.00,3,266.66,0,0,2,0,2019
104,"



Deepak Chahar


",17,2,0,7,7,3.50,9,77.77,0,0,1,0,2019
105,"



Trent Boult


",5,3,2,7,6,7.00,4,175.00,0,0,0,1,2019
106,"



Nikhil Naik


",1,1,0,7,7,7.00,16,43.75,0,0,1,0,2019
107,"



Ricky Bhui


",1,1,0,7,7,7.00,12,58.33,0,0,0,0,2019
108,"



Yuzvendra Chahal


",14,3,1,6,4,3.00,16,37.50,0,0,0,0,2019
109,"



Sandeep Sharma


",11,2,2,6,5*,0.00,3,200.00,0,0,1,0,2019
110,"



Mayank Markande


",3,2,1,6,6,6.00,5,120.00,0,0,1,0,2019
111,"



Ish Sodhi


",2,1,0,6,6,6.00,11,54.54,0,0,0,0,2019
112,"



Jagadeesha Suchith


",1,1,0,6,6,6.00,15,40.00,0,0,0,0,2019
113,"



Rasikh Salam


",1,1,1,5,5*,0.00,4,125.00,0,0,0,0,2019
114,"



Karun Nair


",1,1,0,5,5,5.00,6,83.33,0,0,0,0,2019
115,"



Dhruv Shorey


",1,1,0,5,5,5.00,8,62.50,0,0,0,0,2019
116,"



Dhawal Kulkarni


",10,1,1,5,5*,0.00,3,166.66,0,0,1,0,2019
117,"



Mohammed Siraj


",9,4,3,4,3*,4.00,14,28.57,0,0,0,0,2019
118,"



Hanuma Vihari


",2,2,0,4,2,2.00,8,50.00,0,0,0,0,2019
119,"



Avesh Khan


",1,1,1,4,4*,0.00,3,133.33,0,0,1,0,2019
120,"



Hardus Viljoen


",6,3,1,3,2*,1.50,7,42.85,0,0,0,0,2019
121,"



Murugan Ashwin


",10,3,2,3,1*,3.00,5,60.00,0,0,0,0,2019
122,"



Varun Aaron


",5,1,1,3,3*,0.00,7,42.85,0,0,0,0,2019
123,"



Ashton Turner


",4,4,1,3,3*,1.00,10,30.00,0,0,0,0,2019
124,"



Barinder Sran


",2,1,1,3,3*,0.00,3,100.00,0,0,0,0,2019
125,"



Navdeep Saini


",13,2,1,2,2,2.00,4,50.00,0,0,0,0,2019
126,"



Harbhajan Singh


",11,1,0,1,1,1.00,3,33.33,0,0,0,0,2019
127,"



Harry Gurney


",8,1,1,1,1*,0.00,5,20.00,0,0,0,0,2019
128,"



Washington Sundar


",3,2,0,1,1,0.50,3,33.33,0,0,0,0,2019
0,"



KL Rahul



",14,14,2,670,132*,55.83,518,129.34,1,5,58,23,2020
1,"



Shikhar Dhawan


",17,17,3,618,106*,44.14,427,144.73,2,4,67,12,2020
2,"



David Warner


",16,16,2,548,85*,39.14,407,134.64,0,4,52,14,2020
3,"



Shreyas Iyer


",17,17,2,519,88*,34.60,421,123.27,0,3,40,16,2020
4,"



Ishan Kishan


",14,13,4,516,99,57.33,354,145.76,0,4,36,30,2020
5,"



Quinton de Kock


",16,16,2,503,78*,35.92,358,140.50,0,4,46,22,2020
6,"



Suryakumar Yadav


",16,15,3,480,79*,40.00,331,145.01,0,4,61,11,2020
7,"



Devdutt Padikkal


",15,15,0,473,74,31.53,379,124.80,0,5,51,8,2020
8,"



Virat Kohli


",15,15,4,466,90*,42.36,384,121.35,0,3,23,11,2020
9,"



AB de Villiers


",15,14,4,454,73*,45.40,286,158.74,0,5,33,23,2020
10,"



Faf du Plessis


",13,13,2,449,87*,40.81,319,140.75,0,4,42,14,2020
11,"



Shubman Gill


",14,14,1,440,70*,33.84,373,117.96,0,3,44,9,2020
12,"



Manish Pandey


",16,15,2,425,83*,32.69,333,127.62,0,3,35,18,2020
13,"



Mayank Agarwal


",11,11,0,424,106,38.54,271,156.45,1,2,44,15,2020
14,"



Eoin Morgan


",14,14,4,418,68*,41.80,302,138.41,0,1,32,24,2020
15,"



Sanju Samson


",14,14,1,375,85,28.84,236,158.89,0,3,21,26,2020
16,"



Ambati Rayudu


",12,11,2,359,71,39.88,282,127.30,0,1,30,12,2020
17,"



Nicholas Pooran


",14,14,4,353,77,35.30,208,169.71,0,2,23,25,2020
18,"



Nitish Rana


",14,14,0,352,87,25.14,254,138.58,0,3,43,12,2020
19,"



Marcus Stoinis


",17,17,3,352,65,25.14,237,148.52,0,3,31,16,2020
20,"



Jonny Bairstow


",11,11,0,345,97,31.36,272,126.83,0,3,31,13,2020
21,"



Rishabh Pant


",14,14,3,343,56,31.18,301,113.95,0,1,31,9,2020
22,"



Rohit Sharma


",12,12,0,332,80,27.66,260,127.69,0,3,27,19,2020
23,"



Jos Buttler


",13,12,2,328,70*,32.80,227,144.49,0,2,27,16,2020
24,"



Kane Williamson


",12,11,4,317,67,45.28,237,133.75,0,3,26,10,2020
25,"



Steve Smith


",14,14,2,311,69,25.91,237,131.22,0,3,32,9,2020
26,"



Shane Watson


",11,11,1,299,83*,29.90,247,121.05,0,2,33,13,2020
27,"



Chris Gayle


",7,7,0,288,99,41.14,210,137.14,0,3,15,23,2020
28,"



Ben Stokes


",8,8,1,285,107*,40.71,200,142.50,1,1,36,7,2020
29,"



Hardik Pandya


",14,13,5,281,60*,35.12,157,178.98,0,1,14,25,2020
30,"



Aaron Finch


",12,12,0,268,52,22.33,241,111.20,0,1,28,8,2020
31,"



Kieron Pollard


",16,12,7,268,60*,53.60,140,191.42,0,1,15,22,2020
32,"



Rahul Tewatia


",14,11,5,255,53,42.50,183,139.34,0,1,13,17,2020
33,"



Ravindra Jadeja


",14,11,6,232,50,46.40,135,171.85,0,1,22,11,2020
34,"



Rahul Tripathi


",11,11,1,230,81,23.00,181,127.07,0,1,21,10,2020
35,"



Prithvi Shaw


",13,13,0,228,66,17.53,167,136.52,0,2,27,8,2020
36,"



Wriddhiman Saha


",4,4,1,214,87,71.33,153,139.86,0,2,24,5,2020
37,"



Ruturaj Gaikwad


",6,6,2,204,72,51.00,169,120.71,0,3,16,6,2020
38,"



MS Dhoni


",14,12,4,200,47*,25.00,172,116.27,0,0,16,7,2020
39,"



Robin Uthappa


",12,12,0,196,41,16.33,164,119.51,0,0,19,7,2020
40,"



Sam Curran


",14,11,3,186,52,23.25,141,131.91,0,1,12,12,2020
41,"



Shimron Hetmyer


",12,11,3,185,45,23.12,125,148.00,0,0,11,12,2020
42,"



Dinesh Karthik


",14,14,2,169,58,14.08,134,126.11,0,1,20,4,2020
43,"



Pat Cummins


",14,11,4,146,53*,20.85,114,128.07,0,1,9,8,2020
44,"



Priyam Garg


",14,10,1,133,51*,14.77,111,119.81,0,1,9,4,2020
45,"



Mandeep Singh


",7,7,1,130,66*,21.66,109,119.26,0,1,10,4,2020
46,"



Shivam Dube


",11,9,2,129,27*,18.42,105,122.85,0,0,5,9,2020
47,"



Sunil Narine


",10,9,0,121,64,13.44,85,142.35,0,1,10,8,2020
48,"



Andre Russell


",10,9,0,117,25,13.00,81,144.44,0,0,9,9,2020
49,"



Axar Patel


",15,9,1,117,42,14.62,85,137.64,0,0,6,8,2020
50,"



Jofra Archer


",14,10,4,113,27*,18.83,63,179.36,0,0,5,10,2020
51,"



Ajinkya Rahane


",9,8,0,113,60,14.12,107,105.60,0,1,12,2,2020
52,"



Washington Sundar


",15,9,3,111,30,18.50,95,116.84,0,0,10,2,2020
53,"



Abdul Samad


",12,8,3,111,33,22.20,65,170.76,0,0,8,6,2020
54,"



Krunal Pandya


",16,12,6,109,34,18.16,92,118.47,0,0,9,5,2020
55,"



Glenn Maxwell


",13,11,4,108,32,15.42,106,101.88,0,0,9,0,2020
56,"



Saurabh Tiwary


",7,5,0,103,42,20.60,80,128.75,0,0,8,3,2020
57,"



Deepak Hooda


",7,5,4,101,62*,101.00,71,142.25,0,1,5,5,2020
58,"



Vijay Shankar


",7,5,1,97,52*,24.25,96,101.04,0,1,10,1,2020
59,"



Riyan Parag


",12,8,1,86,42*,12.28,77,111.68,0,0,6,3,2020
60,"



Tom Curran


",5,4,3,83,54*,83.00,62,133.87,0,1,5,3,2020
61,"



Josh Philippe


",5,5,1,78,33,19.50,77,101.29,0,0,9,1,2020
62,"



Gurkeerat Mann Singh


",8,5,5,71,21*,0.00,80,88.75,0,0,8,0,2020
63,"



Abhishek Sharma


",8,7,2,71,31,14.20,56,126.78,0,0,6,3,2020
64,"



Jason Holder


",7,4,2,66,26*,33.00,53,124.52,0,0,5,3,2020
65,"



Kedar Jadhav


",8,5,2,62,26,20.66,66,93.93,0,0,7,0,2020
66,"



Mahipal Lomror


",3,3,0,59,47,19.66,54,109.25,0,0,2,3,2020
67,"



Kagiso Rabada


",17,8,4,56,15*,14.00,49,114.28,0,0,4,2,2020
68,"



Lockie Ferguson


",5,2,2,43,24*,0.00,29,148.27,0,0,4,1,2020
69,"



Krishnappa Gowtham


",2,2,1,42,22*,42.00,27,155.55,0,0,3,2,2020
70,"



Yashasvi Jaiswal


",3,3,0,40,34,13.33,44,90.90,0,0,2,2,2020
71,"



Shreyas Gopal


",14,5,1,37,23*,9.25,39,94.87,0,0,3,0,2020
72,"



Ravichandran Ashwin


",15,6,3,37,14*,12.33,34,108.82,0,0,3,1,2020
73,"



Rashid Khan


",16,7,3,35,14,8.75,30,116.66,0,0,3,2,2020
74,"



Chris Morris


",9,5,1,34,25*,8.50,21,161.90,0,0,2,3,2020
75,"



Sarfaraz Khan


",5,3,1,33,14*,16.50,29,113.79,0,0,5,0,2020
76,"



Narayan Jagadeesan


",5,2,0,33,33,16.50,29,113.79,0,0,4,0,2020
